Protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Fasta.headers	Number.of.proteins	Peptides	Razor...unique.peptides	Unique.peptides	Peptides.t1.1	Peptides.t1.2	Peptides.t1.3	Peptides.t1.4	Peptides.t2.1	Peptides.t2.2	Peptides.t2.3	Peptides.t2.4	Razor...unique.peptides.t1.1	Razor...unique.peptides.t1.2	Razor...unique.peptides.t1.3	Razor...unique.peptides.t1.4	Razor...unique.peptides.t2.1	Razor...unique.peptides.t2.2	Razor...unique.peptides.t2.3	Razor...unique.peptides.t2.4	Unique.peptides.t1.1	Unique.peptides.t1.2	Unique.peptides.t1.3	Unique.peptides.t1.4	Unique.peptides.t2.1	Unique.peptides.t2.2	Unique.peptides.t2.3	Unique.peptides.t2.4	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Sequence.length	Sequence.lengths	Q.value	Score	Identification.type.t1.1	Identification.type.t1.2	Identification.type.t1.3	Identification.type.t1.4	Identification.type.t2.1	Identification.type.t2.2	Identification.type.t2.3	Identification.type.t2.4	Sequence.coverage.t1.1....	Sequence.coverage.t1.2....	Sequence.coverage.t1.3....	Sequence.coverage.t1.4....	Sequence.coverage.t2.1....	Sequence.coverage.t2.2....	Sequence.coverage.t2.3....	Sequence.coverage.t2.4....	Intensity	Intensity.t1.1	Intensity.t1.2	Intensity.t1.3	Intensity.t1.4	Intensity.t2.1	Intensity.t2.2	Intensity.t2.3	Intensity.t2.4	LFQ.intensity.t1.1	LFQ.intensity.t1.2	LFQ.intensity.t1.3	LFQ.intensity.t1.4	LFQ.intensity.t2.1	LFQ.intensity.t2.2	LFQ.intensity.t2.3	LFQ.intensity.t2.4	MS.MS.Count.t1.1	MS.MS.Count.t1.2	MS.MS.Count.t1.3	MS.MS.Count.t1.4	MS.MS.Count.t2.1	MS.MS.Count.t2.2	MS.MS.Count.t2.3	MS.MS.Count.t2.4	MS.MS.Count	Only.identified.by.site	Reverse	Potential.contaminant	id	Peptide.IDs	Peptide.is.razor	Mod..peptide.IDs	Evidence.IDs	MS.MS.IDs	Best.MS.MS	Carbamidomethyl..C..site.IDs	Oxidation..M..site.IDs	Carbamidomethyl..C..site.positions	Oxidation..M..site.positions
sp|Q64010|CRK_MOUSE	3	3	3		1	3	3	3	3	3	3	3	0	0	0	0	3	3	3	3	0	0	0	0	3	3	3	3	0	0	0	0	31	31	31	21.606	187	187	0	19.561	By MS/MS	By MS/MS	By MS/MS	By MS/MS					31	31	31	31	0	0	0	0	55767000	13665000	13814000	9872200	18416000	0	0	0	0	12828000	16513000	11003000	15423000	0	0	0	0	4	3	3	4	0	0	0	0	14			NA	296	7981;10478;17347	True;True;True	8161;10704;17791	52239;52240;52241;52242;68555;68556;68557;68558;113090;113091;113092;113093	73376;73377;73378;73379;73380;73381;73382;73383;94968;94969;94970;94971;94972;154531	73378;94970;154531				
sp|Q8VBT0|TMX1_MOUSE	5	5	5		1	5	5	5	5	5	5	5	4	4	5	4	5	5	5	5	4	4	5	4	5	5	5	5	4	4	5	4	27.8	27.8	27.8	25.976	227	227	0	56.153	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.8	27.8	27.8	27.8	24.7	24.7	27.8	24.7	2922200000	156210000	230640000	294570000	299850000	352060000	652560000	333730000	602620000	144490000	174820000	217510000	238200000	545590000	600560000	294870000	488770000	16	13	18	16	20	26	19	26	154			NA	297	7953;10359;11948;18659;19161	True;True;True;True;True	8127;10584;12239;12240;19138;19139;19653	51996;51997;51998;51999;52000;52001;52002;52003;52004;52005;52006;52007;52008;52009;52010;52011;67805;67806;67807;67808;67809;77764;77765;77766;77767;77768;77769;77770;77771;77772;77773;77774;77775;77776;77777;77778;77779;77780;77781;77782;77783;77784;77785;77786;77787;121946;121947;121948;121949;121950;121951;121952;121953;121954;121955;121956;121957;121958;121959;121960;121961;125049;125050;125051;125052;125053;125054;125055;125056	72921;72922;72923;72924;72925;72926;72927;72928;72929;72930;72931;72932;72933;72934;72935;72936;72937;72938;72939;93700;93701;93702;93703;93704;93705;93706;106754;106755;106756;106757;106758;106759;106760;106761;106762;106763;106764;106765;106766;106767;106768;106769;106770;106771;106772;106773;106774;106775;106776;106777;106778;106779;106780;106781;106782;106783;106784;106785;106786;106787;106788;106789;106790;106791;106792;106793;106794;106795;106796;106797;106798;106799;106800;106801;106802;106803;106804;106805;106806;106807;106808;106809;106810;106811;106812;106813;106814;106815;106816;106817;106818;106819;106820;106821;106822;106823;106824;106825;106826;106827;106828;106829;166934;166935;166936;166937;166938;166939;166940;166941;166942;166943;166944;166945;166946;166947;166948;166949;166950;166951;166952;166953;166954;166955;166956;166957;166958;166959;166960;166961;166962;166963;166964;166965;166966;166967;166968;166969;166970;166971;166972;166973;166974;166975;166976;166977;166978;170683;170684;170685;170686;170687;170688;170689	72927;93700;106810;166954;170689		50;51		146;152
sp|Q8K2V1|PP4R1_MOUSE	5	5	5		1	5	5	5	5	5	4	5	2	1	0	1	5	5	4	5	2	1	0	1	5	5	4	5	2	1	0	1	26.1	26.1	26.1	24.57	218	218	0	15.761	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching		By matching	26.1	26.1	20.2	26.1	9.6	4.6	0	4.6	155240000	3.60E+07	40734000	20515000	54070000	1787400	1257600	0	872760	34001000	36929000	27716000	49608000	4850700	0	0	0	7	7	4	7	0	0	0	0	25			NA	298	13044;14837;16603;17512;17743	True;True;True;True;True	13396;15228;17026;17959;18197	85137;85138;85139;85140;96595;96596;96597;96598;107976;107977;107978;107979;107980;107981;107982;114160;114161;114162;114163;114164;116002;116003;116004	116857;116858;116859;116860;116861;116862;116863;116864;131145;131146;131147;146851;146852;146853;146854;146855;146856;155926;155927;155928;155929;155930;155931;155932;158478	116862;131146;146853;155932;158478				
sp|Q8CAK1|CAF17_MOUSE	7;2;1	7;2;1	7;2;1		3	7	7	7	3	3	4	3	5	7	5	6	3	3	4	3	5	7	5	6	3	3	4	3	5	7	5	6	51.5	51.5	51.5	29.032	260	260;259;260	0	114.53	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	25	25.8	34.6	28.5	43.1	51.5	38.1	46.5	360900000	3145800	3305900	5952900	8642900	36962000	135380000	59382000	108120000	2536900	2907800	2763600	4864100	38590000	136860000	72578000	99803000	0	0	0	0	5	16	9	14	44			NA	299	1591;10119;13851;14872;16493;17901;19010	True;True;True;True;True;True;True	1623;10341;14222;15264;16915;18361;19496	10320;10321;10322;10323;10324;10325;10326;10327;10328;10329;10330;10331;66305;66306;66307;90305;90306;90307;90308;90309;90310;90311;90312;96811;96812;96813;96814;96815;96816;96817;107327;107328;107329;107330;107331;107332;107333;117045;117046;117047;124075	14527;14528;14529;14530;14531;14532;14533;14534;14535;14536;14537;14538;91820;91821;123339;123340;123341;123342;123343;123344;123345;123346;123347;131463;131464;131465;131466;131467;131468;131469;131470;131471;146113;146114;146115;146116;146117;146118;146119;146120;146121;146122;159859;159860;169462	14528;91820;123346;131466;146116;159859;169462				
xx|K1C10_HUMAN|;sp|P02535|K1C10_MOUSE;sp|Q8VCW2|K1C25_MOUSE;sp|Q9Z320|K1C27_MOUSE	2	2	2		1	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	15.4	15.4	15.4	18.08	162	162	0	7.1166	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	15.4	15.4	15.4	15.4	9.3	9.3	9.3	9.3	73612000	7600700	10792000	9440500	24378000	2709700	9851000	4467500	4372400	10795000	12707000	9293600	19415000	0	0	0	0	0	1	2	1	0	0	0	1	5			NA	300	7107;18537	True;True	7263;19014	46093;46094;46095;46096;46097;46098;46099;46100;121121;121122;121123;121124	64010;64011;165616;165617;165618	64010;165618				
sp|Q8K370|ACD10_MOUSE	2	2	2		1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	1	2	16	16	16	13.779	119	119	0	6.3062	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	16	16	16	16	8.4	16	8.4	16	82898000	3092500	5674600	3942800	8937300	13395000	22712000	11279000	13865000	0	0	0	0	0	0	0	13865000	0	0	0	0	0	2	0	2	4			NA	301	16720;17457	True;True	17144;17902	108757;108758;108759;108760;108761;108762;113783;113784;113785;113786;113787;113788;113789;113790	148004;148005;148006;148007;155434	148005;155434				
sp|Q9JMI7|TX101_MOUSE	4;2;1;1;1;1	3;1;0;0;0;0	2;1;0;0;0;0	;	6	4	3	2	2	2	1	2	3	4	3	4	2	2	1	2	2	3	2	3	2	2	1	2	2	2	2	2	13.5	10.8	8	40.836	362	362;325;185;298;362;365	0	21.018	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8	8	4.1	8	10.8	13.5	10.8	13.5	119620000	4069200	4083000	2338400	4482600	24903000	33019000	23940000	22779000	3463100	3642400	0	3893300	24242000	33454000	24478000	24104000	0	0	0	1	2	3	4	4	14			NA	302	1156;6656;18805;19162	True;True;False;True	1185;6807;19289;19654	7508;7509;7510;7511;7512;7513;7514;42934;42935;122853;122854;122855;122856;125057;125058;125059;125060;125061;125062;125063;125064	10709;10710;10711;10712;10713;10714;10715;59662;59663;167956;167957;167958;167959;167960;170690;170691;170692;170693;170694;170695;170696;170697;170698	10711;59662;167959;170693				
sp|Q64514|TPP2_MOUSE	5;3;2;2;2;1	5;3;2;2;2;1	3;1;1;1;1;1	;	6	5	5	3	1	1	1	2	5	5	4	5	1	1	1	2	5	5	4	5	0	0	0	1	3	3	2	3	17.3	17.3	11.4	41.301	369	369;362;328;368;369;368	0	25.416	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.3	3.3	3.3	6.8	17.3	17.3	13.3	17.3	97347000	1027200	799770	1089500	2088200	20310000	29623000	17636000	24773000	0	0	0	3780300	24189000	22826000	21183000	22453000	0	0	0	0	6	5	4	7	22			NA	303	17107;18805;18916;19197;19430	True;True;True;True;True	17544;19289;19402;19689;19927	111442;111443;111444;111445;111446;122853;122854;122855;122856;123523;123524;123525;123526;123527;123528;123529;123530;125262;125263;125264;126695;126696;126697;126698	151876;151877;151878;151879;151880;167956;167957;167958;167959;167960;168747;168748;168749;168750;168751;168752;168753;168754;170965;172877;172878;172879;172880	151877;167959;168752;170965;172877				
sp|Q8R5M8|CADM1_MOUSE	2;2;2;1;1;1	2;2;2;1;1;1	2;2;2;1;1;1	;;;;;	6	2	2	2	0	0	0	0	2	1	2	1	0	0	0	0	2	1	2	1	0	0	0	0	2	1	2	1	14.3	14.3	14.3	30.128	265	265;265;265;252;263;263	0.00072516	4.2183					By MS/MS	By matching	By MS/MS	By matching	0	0	0	0	14.3	6	14.3	6	16511000	0	0	0	0	6235600	3041600	5363000	1871100	0	0	0	0	6008900	0	5589700	0	0	0	0	0	1	0	1	0	2			NA	304	1600;12436	True;True	1632;12763	10363;10364;81162;81163;81164;81165	14565;111533	14565;111533				
sp|O08529|CAN2_MOUSE	6	6	3		1	6	6	3	4	5	6	6	5	6	5	6	4	5	6	6	5	6	5	6	3	3	3	3	3	3	3	3	43	43	28.2	15.085	142	142	0	107.1	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	33.1	41.5	43	43	41.5	43	41.5	43	2.79E+10	551900000	916980000	557550000	1222200000	2631400000	1.03E+10	5493200000	6132900000	526730000	683110000	403180000	826070000	2352700000	1.11E+10	4967400000	6646500000	17	15	18	17	31	64	46	63	271			NA	305	4867;7513;11056;11790;17121;17356	True;True;True;True;True;True	4978;7678;11298;12055;12056;17558;17800	31535;31536;31537;31538;31539;31540;31541;48904;48905;48906;48907;48908;48909;48910;48911;48912;48913;48914;48915;48916;48917;48918;48919;72046;72047;72048;72049;76640;76641;76642;76643;76644;76645;76646;76647;76648;76649;76650;76651;76652;76653;76654;111538;111539;111540;111541;111542;111543;111544;111545;111546;111547;111548;111549;111550;111551;111552;111553;111554;111555;111556;111557;111558;111559;111560;111561;111562;111563;111564;111565;111566;111567;111568;113149;113150;113151;113152;113153;113154;113155;113156	43849;43850;43851;43852;43853;43854;43855;43856;43857;43858;43859;43860;43861;43862;43863;43864;43865;43866;43867;43868;68431;68432;68433;68434;68435;68436;68437;68438;68439;68440;68441;68442;68443;68444;68445;68446;68447;68448;68449;68450;68451;68452;68453;68454;68455;68456;68457;68458;68459;68460;68461;68462;68463;68464;68465;68466;68467;68468;68469;68470;68471;68472;68473;68474;68475;68476;68477;68478;68479;68480;68481;68482;68483;68484;68485;68486;68487;68488;68489;68490;68491;68492;68493;68494;68495;68496;68497;68498;68499;99213;99214;99215;105357;105358;105359;105360;105361;105362;105363;105364;105365;105366;105367;105368;105369;105370;105371;105372;105373;105374;105375;105376;105377;105378;105379;105380;105381;105382;105383;105384;105385;105386;105387;105388;105389;105390;105391;105392;105393;105394;105395;105396;105397;105398;105399;105400;105401;105402;105403;152025;152026;152027;152028;152029;152030;152031;152032;152033;152034;152035;152036;152037;152038;152039;152040;152041;152042;152043;152044;152045;152046;152047;152048;152049;152050;152051;152052;152053;152054;152055;152056;152057;152058;152059;152060;152061;152062;152063;152064;152065;152066;152067;152068;152069;152070;152071;152072;152073;152074;152075;152076;152077;152078;152079;152080;152081;152082;152083;152084;152085;152086;152087;152088;152089;152090;152091;152092;152093;152094;152095;152096;152097;152098;152099;152100;152101;152102;152103;152104;152105;152106;152107;152108;152109;152110;152111;152112;152113;152114;152115;152116;152117;152118;152119;152120;152121;152122;152123;152124;152125;152126;152127;152128;152129;152130;152131;152132;152133;152134;152135;154622;154623;154624;154625;154626;154627;154628;154629;154630;154631;154632;154633;154634;154635;154636;154637;154638;154639;154640;154641;154642;154643	43864;68497;99214;105384;152085;154641		52		33
sp|Q9D1I5|MCEE_MOUSE	7;3;2;1	7;3;2;1	7;3;2;1		4	7	7	7	3	4	4	2	7	7	7	7	3	4	4	2	7	7	7	7	3	4	4	2	7	7	7	7	56.5	56.5	56.5	15.84	147	147;147;146;147	0	190.51	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.9	39.5	38.8	19.7	56.5	56.5	56.5	56.5	1.22E+10	162340000	317470000	251940000	477540000	834580000	5289200000	1612200000	3289700000	116210000	161840000	133800000	231590000	922570000	5146900000	1899100000	3107700000	11	13	11	11	30	64	43	58	241			NA	306	1928;9161;10030;10383;10580;17811;19156	True;True;True;True;True;True;True	1967;9366;10251;10608;10609;10806;18269;19647;19648	12577;12578;12579;12580;12581;12582;12583;12584;12585;12586;12587;60335;60336;60337;60338;60339;60340;60341;60342;60343;65711;65712;65713;65714;67928;67929;67930;67931;67932;67933;67934;67935;67936;67937;67938;67939;67940;69109;69110;69111;69112;69113;69114;69115;69116;116472;116473;116474;116475;116476;116477;116478;116479;124992;124993;124994;124995;124996;124997;124998;124999;125000;125001;125002;125003;125004;125005;125006;125007;125008;125009;125010;125011;125012;125013;125014;125015;125016;125017;125018;125019;125020;125021;125022;125023;125024;125025;125026;125027;125028;125029;125030;125031;125032;125033;125034	17928;17929;17930;17931;17932;17933;17934;17935;17936;17937;17938;17939;17940;17941;17942;17943;17944;17945;17946;17947;17948;17949;17950;17951;83843;83844;83845;83846;83847;83848;83849;83850;83851;90990;90991;90992;90993;90994;90995;90996;90997;90998;90999;93821;93822;93823;93824;93825;93826;93827;93828;93829;93830;93831;93832;93833;93834;93835;93836;93837;93838;93839;95626;95627;95628;95629;95630;95631;95632;95633;95634;95635;95636;95637;95638;95639;95640;95641;95642;95643;95644;95645;95646;95647;95648;95649;95650;95651;95652;95653;95654;95655;95656;95657;159130;159131;159132;159133;159134;159135;159136;159137;159138;159139;159140;159141;159142;159143;159144;159145;159146;159147;159148;159149;159150;159151;170547;170548;170549;170550;170551;170552;170553;170554;170555;170556;170557;170558;170559;170560;170561;170562;170563;170564;170565;170566;170567;170568;170569;170570;170571;170572;170573;170574;170575;170576;170577;170578;170579;170580;170581;170582;170583;170584;170585;170586;170587;170588;170589;170590;170591;170592;170593;170594;170595;170596;170597;170598;170599;170600;170601;170602;170603;170604;170605;170606;170607;170608;170609;170610;170611;170612;170613;170614;170615;170616;170617;170618;170619;170620;170621;170622;170623;170624;170625;170626;170627;170628;170629;170630;170631;170632;170633;170634;170635;170636;170637;170638;170639;170640;170641;170642;170643;170644;170645;170646;170647;170648;170649;170650;170651;170652;170653;170654;170655;170656;170657;170658;170659;170660;170661;170662;170663;170664;170665;170666;170667;170668;170669;170670;170671;170672	17951;83845;90998;93837;95627;159135;170591		53;54		56;110
sp|Q3TDN2|FAF2_MOUSE	10;10;10;10	10;10;10;10	10;10;10;10	;;;	4	10	10	10	10	10	9	9	3	3	2	3	10	10	9	9	3	3	2	3	10	10	9	9	3	3	2	3	39	39	39	15.328	136	136;136;136;136	0	72.064	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	39	39	38.2	38.2	18.4	19.9	13.2	19.9	1.95E+10	3139200000	4.33E+09	4.39E+09	6845100000	129190000	322730000	156360000	186450000	3045700000	4436300000	4381400000	6766300000	136160000	349410000	183700000	195940000	39	41	49	43	9	10	8	8	207			NA	307	3416;3417;14301;14313;15548;15549;18523;19516;19545;19546	True;True;True;True;True;True;True;True;True;True	3486;3487;14683;14696;15947;15948;19000;20018;20047;20048	22237;22238;22239;22240;22241;22242;22243;22244;22245;22246;22247;22248;22249;22250;22251;22252;22253;93285;93286;93287;93344;93345;93346;93347;101152;101153;101154;101155;101156;101157;101158;101159;101160;101161;101162;101163;101164;101165;101166;101167;101168;101169;101170;101171;101172;101173;101174;121024;121025;121026;121027;127211;127212;127213;127214;127389;127390;127391;127392;127393;127394;127395;127396;127397;127398	31797;31798;31799;31800;31801;31802;31803;31804;31805;31806;31807;31808;31809;31810;31811;31812;31813;31814;31815;31816;31817;31818;31819;31820;31821;31822;31823;31824;31825;31826;31827;31828;31829;31830;31831;31832;31833;31834;31835;31836;31837;31838;31839;31840;31841;31842;31843;31844;31845;31846;31847;31848;31849;31850;31851;31852;31853;31854;31855;31856;31857;31858;31859;31860;31861;31862;31863;31864;31865;31866;31867;126772;126773;126823;126824;126825;126826;136910;136911;136912;136913;136914;136915;136916;136917;136918;136919;136920;136921;136922;136923;136924;136925;136926;136927;136928;136929;136930;136931;136932;136933;136934;136935;136936;136937;136938;136939;136940;136941;136942;136943;136944;136945;136946;136947;136948;136949;136950;136951;136952;136953;136954;136955;136956;136957;136958;136959;136960;136961;136962;136963;136964;136965;136966;136967;136968;136969;136970;136971;136972;136973;136974;136975;136976;136977;136978;136979;136980;136981;136982;136983;136984;136985;136986;136987;136988;136989;136990;136991;136992;136993;136994;136995;136996;136997;136998;136999;137000;137001;137002;137003;137004;137005;137006;137007;137008;137009;165521;165522;173620;173621;173622;173839;173840;173841;173842;173843;173844;173845;173846;173847;173848;173849;173850;173851;173852;173853;173854;173855;173856;173857;173858;173859;173860;173861;173862;173863;173864	31798;31854;126772;126825;136936;137009;165521;173622;173839;173863				
sp|Q3THW5|H2AV_MOUSE;sp|P0C0S6|H2AZ_MOUSE	11	11	11		1	11	11	11	10	10	10	9	1	1	0	3	10	10	10	9	1	1	0	3	10	10	10	9	1	1	0	3	8.9	8.9	8.9	197.09	1786	1786	0	53.931	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching		By matching	8.4	8.3	8.3	7.2	1.1	1.1	0	2.7	155270000	31396000	38352000	36070000	47810000	281210	420580	0	939670	27641000	24513000	34347000	63599000	0	0	0	4466800	5	6	7	11	0	0	0	0	29			NA	308	1000;8242;9164;10028;10919;12378;16389;17476;19184;19558;19724	True;True;True;True;True;True;True;True;True;True;True	1021;8431;9369;10249;11161;12705;16806;17922;19676;20060;20227	6450;6451;6452;6453;6454;6455;54063;54064;54065;54066;54067;60356;60357;60358;65703;65704;65705;65706;71202;71203;71204;80828;80829;80830;80831;80832;80833;80834;80835;106725;106726;106727;106728;113940;113941;113942;113943;113944;113945;125195;125196;125197;125198;127463;127464;127465;127466;128522	8898;8899;8900;8901;8902;75813;83854;90983;90984;90985;98240;111026;111027;111028;111029;111030;145392;155650;155651;155652;155653;155654;155655;155656;155657;170868;170869;170870;173936;173937;173938;173939;173940;175142	8901;75813;83854;90984;98240;111028;145392;155653;170870;173939;175142				
sp|Q9D1L0|CHCH2_MOUSE	1	1	1		1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	2.5	2.5	2.5	36.059	318	318	0.0053015	3.026	By matching					By MS/MS		By MS/MS	2.5	0	0	0	0	2.5	0	2.5	8178800	361290	0	0	0	0	5108100	0	2709400	0	0	0	0	0	0	0	2709400	0	0	0	0	0	2	0	1	3			NA	309	19578	TRUE	20081	127600;127601;127602	174096;174097;174098	174096				
sp|P61255|RL26_MOUSE	5	5	5		1	5	5	5	3	3	3	2	4	4	3	4	3	3	3	2	4	4	3	4	3	3	3	2	4	4	3	4	15.9	15.9	15.9	51.881	459	459	0	31.972	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.8	11.3	11.8	8.3	12	12	11.5	12	156610000	2291200	7940200	2926500	6299200	27342000	46824000	35752000	27233000	4268700	8241600	4737100	32381000	27252000	36343000	12749000	14363000	0	1	0	5	11	11	5	7	40			NA	310	598;3825;5932;7665;11297	True;True;True;True;True	612;3903;6066;7832;11543	3892;3893;3894;3895;24839;24840;24841;24842;24843;24844;24845;24846;24847;24848;24849;24850;38300;38301;38302;38303;38304;49928;49929;49930;49931;49932;49933;73602;73603;73604;73605;73606;73607;73608;73609	5303;5304;5305;35184;35185;35186;35187;35188;35189;35190;35191;35192;35193;35194;35195;35196;35197;35198;35199;53272;53273;53274;69931;69932;69933;101270;101271;101272;101273;101274;101275;101276;101277;101278;101279;101280;101281;101282;101283;101284	5303;35196;53274;69931;101284				
sp|Q3TJZ6|FA98A_MOUSE	2	2	2		1	2	2	2	1	1	1	1	2	2	1	2	1	1	1	1	2	2	1	2	1	1	1	1	2	2	1	2	4.9	4.9	4.9	68.474	607	607	0	6.2417	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.1	2.1	2.1	2.1	4.9	4.9	2.1	4.9	20619000	347550	240770	487390	1946500	6746900	4898700	2156700	3794700	0	0	0	0	6382400	5420200	0	3637600	0	0	0	2	3	3	2	2	12			NA	311	15600;16847	True;True	15999;17273	101506;101507;101508;109628;109629;109630;109631;109632;109633;109634;109635	137476;149135;149136;149137;149138;149139;149140;149141;149142;149143;149144;149145	137476;149139				
sp|A2BDX3|MOCS3_MOUSE	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14.9	14.9	14.9	7.7662	67	67	0	5.6393	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	14.9	14.9	14.9	14.9	14.9	14.9	14.9	14.9	424080000	42619000	53558000	52419000	89679000	19554000	94121000	19075000	53051000	0	0	0	0	0	0	0	53051000	3	2	3	3	0	2	0	3	16			NA	312	8530	TRUE	8725	55967;55968;55969;55970;55971;55972;55973;55974	78320;78321;78322;78323;78324;78325;78326;78327;78328;78329;78330;78331;78332;78333;78334;78335	78321				
sp|Q99LD8|DDAH2_MOUSE;sp|Q9CWS0|DDAH1_MOUSE	4	4	4		1	4	4	4	1	1	1	1	4	3	3	4	1	1	1	1	4	3	3	4	1	1	1	1	4	3	3	4	31.1	31.1	31.1	14.65	132	132	0	11.523	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.4	11.4	11.4	11.4	31.1	31.1	30.3	31.1	93119000	3896000	4018800	2526000	4920300	30631000	11063000	15933000	20131000	0	0	0	0	30148000	13944000	16917000	16748000	0	0	0	0	4	2	2	2	10			NA	313	9957;9958;11496;14817	True;True;True;True	10177;10178;11745;15208	65290;65291;65292;65293;65294;65295;74825;74826;74827;74828;96475;96476;96477;96478;96479;96480;96481;96482	90472;90473;90474;90475;102935;102936;102937;102938;102939;102940;130987	90472;90473;102935;130987				
sp|Q61553|FSCN1_MOUSE	8	8	8		1	8	8	8	0	0	0	0	6	8	8	7	0	0	0	0	6	8	8	7	0	0	0	0	6	8	8	7	11.2	11.2	11.2	103.13	929	929	0	39.201					By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	7.6	11.2	11.2	9.1	136740000	0	0	0	0	10255000	59659000	42327000	24498000	0	0	0	0	17197000	61091000	28072000	30379000	0	0	0	0	3	9	6	5	23			NA	314	890;1311;5735;8090;8312;10095;14763;15701	True;True;True;True;True;True;True;True	910;1341;5867;8272;8504;10316;15154;16102	5743;5744;5745;5746;8503;8504;8505;8506;36989;36990;36991;36992;52877;52878;52879;54529;54530;54531;54532;66161;66162;66163;66164;96168;96169;102134;102135;102136;102137	7766;7767;7768;7769;7770;12087;12088;12089;12090;51375;51376;51377;51378;74112;74113;74114;76485;76486;76487;76488;76489;91627;130682;138267	7767;12088;51376;74112;76486;91627;130682;138267				
